__________________________________________________
idx: 1089-134686-0000
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
idx: 1089-134686-0005
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.94	0.0	1.0
1	MU	MU	MU	null	0.91	0.0	1.0
2	S	S	S	null	0.6	0.0	1.0
3	IC▁	IC▁	IC▁	null	1.0	0.0	0.95
4	CAME▁	CAME▁	CAME▁	null	1.0	0.0	1.0
5	NE	NE	NE	null	1.0	0.0	1.0
6	AR	AR	AR	null	1.0	0.0	1.0
7	ER▁	ER▁	ER▁	null	1.0	0.0	0.97
8	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
9	HE▁	HE▁	HE▁	null	1.0	0.0	1.0
10	RE	RE	RE	null	0.91	0.0	1.0
11	CALLED▁	CALLED▁	CALLED▁	null	0.97	0.0	0.99
12	THE▁	THE▁	THE▁	null	1.0	0.0	0.99
13	WORDS▁	WORDS▁	WORDS▁	null	1.0	0.0	1.0
14	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
15	WORDS▁	WORDS▁	WORDS▁	null	0.98	0.0	1.0
16	OF▁	OF▁	OF▁	null	1.0	0.0	0.98
17	SH	SH	SH	null	0.98	0.0	0.95
18	EL	EL	EL	ILL	0.98	0.05	0.51
19	LE	BE	BE	BE	0.86	1.0	0.99
20	Y	E	S	E	0.39	1.0	0.2
21	'	PO	V	PO	0.44	1.0	0.21
22	S▁	A	F	A	0.41	1.0	0.29
23	F	F	F	null	1.0	0.0	1.0
24	RA	RA	RA	RA	1.0	0.05	0.69
25	G	G	G	G	0.99	0.0	0.91
26	MENT▁	MENT▁	MENT▁	R	0.59	0.06	0.37
27	UPON▁	UPON▁	UPON▁	null	1.0	0.0	1.0
28	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
29	MO	MO	MO	null	1.0	0.0	1.0
30	ON▁	ON▁	ON▁	null	0.98	0.0	1.0
31	W	W	W	null	1.0	0.0	0.99
32	AN	AN	AN	AN	1.0	0.0	0.72
33	DER	DER	DER	null	1.0	0.01	0.37
34	ING▁	ING▁	ING▁	null	0.98	0.0	1.0
35	COM	COM	COM	null	0.97	0.0	1.0
36	P	P	P	null	1.0	0.0	0.85
37	AN	AN	AN	AN	1.0	0.04	0.99
38	I	UN	IONS▁	UN	0.85	0.96	0.9
39	ON	PU	LESS▁	PU	0.77	1.0	0.18
40	LESS▁	R	LL	R	0.56	1.0	0.34
41	LESS▁	HI	OUS▁	HI	0.62	1.0	0.41
42	LESS▁	L	L	L	0.99	1.0	0.78
43	LESS▁	'	'	'	1.0	1.0	0.67
44	LESS▁	S▁	S▁	null	1.0	0.0	1.0
45	PA	PA	PA	null	1.0	0.0	1.0
46	LE▁	LE▁	LE▁	null	1.0	0.0	0.99
47	FOR▁	FOR▁	FOR▁	null	0.97	0.0	1.0
48	WE	WE	WE	null	1.0	0.0	0.96
49	AR	AR	AR	AR	0.98	0.0	0.8
50	I	I	I	I	1.0	0.0	0.99
51	NESS▁	NESS▁	NESS▁	null	1.0	0.0	0.32
==================================================

__________________________________________________
idx: 1089-134686-0006
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.79	0.0	1.0
1	DU	DU	DU	null	1.0	0.0	1.0
2	LL▁	LL▁	LL▁	null	0.98	0.0	1.0
3	LIGHT▁	LIGHT▁	LIGHT▁	null	1.0	0.0	1.0
4	FE	FE	FE	null	0.9	0.0	1.0
5	LL▁	LL▁	LL▁	null	1.0	0.0	1.0
6	MORE▁	MORE▁	MORE▁	null	0.94	0.0	1.0
7	FA	FA	FA	null	0.99	0.0	0.99
8	I	I	I	null	0.77	0.0	1.0
9	NTLY▁	NTLY▁	NTLY▁	null	0.53	0.0	0.99
10	UPON▁	UPON▁	UPON▁	null	1.0	0.0	1.0
11	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
12	P	P	P	null	0.99	0.0	1.0
13	AGE▁	AGE▁	AGE▁	null	1.0	0.0	1.0
14	W	WHERE▁	WHERE▁	null	0.74	0.0	1.0
15	ON▁	ON▁	ON▁	null	0.92	0.0	1.0
16	ANOTHER▁	ANOTHER▁	ANOTHER▁	null	1.0	0.0	1.0
17	E	E	E	null	1.0	0.0	1.0
18	QU	QU	QU	QU	1.0	0.0	0.95
19	ATION▁	ATION▁	ATION▁	null	0.86	0.01	0.78
20	BEGAN▁	BEGAN▁	BEGAN▁	null	1.0	0.0	1.0
21	TO▁	TO▁	TO▁	null	0.99	0.0	0.99
22	UN	UN	UN	null	1.0	0.0	0.99
23	F	F	F	F	0.99	0.0	0.97
24	OLD▁	EL	U	EL	0.29	0.99	0.21
25	IT	BE	LOW▁	BE	0.96	1.0	0.81
26	S	S	S	S	0.96	0.04	0.46
27	EL	H▁	H▁	EL	1.0	0.56	0.17
28	S	S	S	null	1.0	0.0	1.0
29	LO	LO	LO	null	0.96	0.0	1.0
30	W	W	W	null	1.0	0.0	0.99
31	LY▁	LY▁	LY▁	null	1.0	0.0	0.21
32	AND▁	AND▁	AND▁	null	0.98	0.0	1.0
33	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
34	SP	SP	SP	null	1.0	0.0	1.0
35	READ▁	READ▁	READ▁	null	0.99	0.0	1.0
36	AB	AB	AB	null	1.0	0.0	1.0
37	ROAD▁	ROAD▁	ROAD▁	null	1.0	0.0	1.0
38	ITS▁	ITS▁	ITS▁	null	1.0	0.0	1.0
39	WI	WI	WI	null	0.75	0.0	1.0
40	D	D	D	D	0.65	0.0	0.99
41	EN	AN	AN	AN	0.51	0.34	0.56
42	ING▁	G	G	G	0.84	0.95	0.32
43	ING▁	W	ED▁	W	0.42	1.0	0.15
44	T	INTER	E▁	INTER	0.49	0.97	0.19
45	AIL▁	INTER	E▁	INTER	0.49	0.97	0.19
46	AIL▁	S▁	S▁	null	0.76	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0007
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	A▁	A▁	A▁	null	0.98	0.0	1.0
1	C	C	C	null	1.0	0.0	1.0
2	OLD▁	OLD▁	OLD▁	null	0.99	0.0	0.99
3	LU	LU	LU	null	0.99	0.0	0.98
4	C	C	C	C	0.89	0.01	0.69
5	I	I	I	null	0.89	0.21	0.16
6	D▁	D▁	D▁	G	0.52	0.35	0.24
7	IN	IN	IN	null	0.99	0.0	1.0
8	DI	DI	DI	null	0.64	0.0	1.0
9	F	F	F	null	1.0	0.0	0.99
10	FER	FER	FER	null	1.0	0.0	0.86
11	ENCE▁	ENCE▁	ENCE▁	null	0.9	0.0	1.0
12	RE	RE	RE	null	0.78	0.0	1.0
13	I	I	I	null	0.58	0.0	0.53
14	G	G	G	null	1.0	0.0	0.45
15	NED▁	N▁	N▁	I	0.92	0.01	0.41
16	IN▁	IN▁	IN▁	null	0.85	0.0	1.0
17	HIS▁	HIS▁	HIS▁	null	1.0	0.0	0.99
18	S	S	S	null	1.0	0.0	1.0
19	OUL	OUL	OUL	null	1.0	0.0	1.0
20	▁	▁	▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0008
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
1	C	C	C	null	0.99	0.0	0.98
2	HA	HA	HA	HA	0.98	0.0	1.0
3	O	F	SE▁	F	0.77	0.99	0.32
4	S▁	US	S▁	US	0.67	1.0	0.19
5	S▁	O	▁	O	0.66	1.0	1.0
6	S▁	▁	▁	HA	0.72	0.55	0.26
7	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
8	WHICH▁	WHICH▁	WHICH▁	null	1.0	0.0	1.0
9	HIS▁	HIS▁	HIS▁	null	1.0	0.0	1.0
10	AR	AR	AR	null	0.7	0.0	1.0
11	D	D	D	D	0.84	0.0	0.88
12	OUR▁	AR	AR	AR	0.85	0.0	0.51
13	EX	D	▁	D	0.38	0.91	0.18
14	T	R	S▁	R	0.94	0.73	0.4
15	IN	IN	IN	IN	0.9	0.0	0.62
16	GU	G	G	HAR	0.74	0.01	0.28
17	SHED▁	ED▁	ED▁	I	0.98	0.49	0.15
18	IT	IT	IT	null	0.85	0.0	1.0
19	S	S	S	null	0.99	0.0	1.0
20	EL	EL	EL	null	0.69	0.0	0.99
21	F▁	F▁	F▁	null	0.95	0.0	0.99
22	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
23	A▁	A▁	A▁	null	0.99	0.0	1.0
24	C	C	C	null	1.0	0.0	1.0
25	OLD▁	OLD▁	OLD▁	null	0.64	0.0	1.0
26	IN	IN	IN	null	1.0	0.0	1.0
27	DI	DI	DI	null	1.0	0.0	1.0
28	F	F	F	null	1.0	0.0	0.95
29	FER	FER	FER	null	1.0	0.01	0.8
30	EN	EN	EN	null	0.76	0.0	0.75
31	T▁	T▁	T▁	null	1.0	0.0	0.7
32	K	K	K	null	1.0	0.0	1.0
33	NO	NO	NO	null	1.0	0.0	0.97
34	W	W	W	null	0.97	0.0	1.0
35	LE	LE	LE	null	1.0	0.0	0.93
36	D	D	D	null	0.99	0.0	0.86
37	G	G	G	null	1.0	0.0	0.61
38	E▁	E▁	E▁	null	1.0	0.0	0.32
39	OF▁	OF▁	OF▁	null	0.9	0.0	1.0
40	HIMSELF▁	HIMSELF▁	HIMSELF▁	null	0.56	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0009
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	AT▁	AT▁	AT▁	null	0.88	0.0	0.99
1	MOST▁	MOST▁	MOST▁	null	0.99	0.0	1.0
2	BY▁	BY▁	BY▁	null	1.0	0.0	1.0
3	AN▁	AN▁	AN▁	null	1.0	0.0	1.0
4	AL	AL	AL	null	1.0	0.0	0.72
5	M	M	M	M	1.0	0.0	1.0
6	S▁	'	'	'	0.85	0.2	0.94
7	S▁	S▁	S▁	null	1.0	0.0	1.0
8	GIVEN▁	GIVEN▁	GIVEN▁	null	0.99	0.0	0.99
9	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
10	A▁	A▁	A▁	null	1.0	0.0	1.0
11	BE	BE	BE	null	0.96	0.0	1.0
12	G	G	G	null	1.0	0.0	0.99
13	G	G	G	null	0.81	0.0	0.73
14	AR	AR	AR	AR	1.0	0.02	0.24
15	▁	▁	▁	D	0.87	0.0	0.23
16	WHOSE▁	WHOSE▁	WHOSE▁	null	1.0	0.0	1.0
17	BL	BL	BL	null	1.0	0.0	0.95
18	ES	ES	ES	null	1.0	0.0	1.0
19	S	S	S	null	0.72	0.0	1.0
20	ING▁	ING▁	ING▁	null	1.0	0.01	0.16
21	HE▁	HE▁	HE▁	null	1.0	0.0	1.0
22	F	F	F	null	0.55	0.0	1.0
23	LED▁	LED▁	LED▁	null	1.0	0.0	1.0
24	FROM▁	FROM▁	FROM▁	null	1.0	0.0	1.0
25	HE▁	HE▁	HE▁	null	1.0	0.0	1.0
26	MIGHT▁	MIGHT▁	MIGHT▁	null	1.0	0.0	1.0
27	HO	HO	HO	null	0.62	0.0	1.0
28	P	P	P	null	0.94	0.0	1.0
29	E▁	E▁	E▁	null	0.97	0.0	1.0
30	WE	WE	WE	null	1.0	0.0	0.99
31	AR	AR	AR	AR	1.0	0.0	0.94
32	I	I	I	RO	1.0	0.01	0.54
33	LY▁	LY▁	LY▁	null	0.82	0.0	0.28
34	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
35	W	W	W	null	1.0	0.0	1.0
36	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
37	FOR▁	FOR▁	FOR▁	null	0.98	0.0	0.99
38	HIMSELF▁	HIMSELF▁	HIMSELF▁	null	0.89	0.0	1.0
39	SOME▁	SOME▁	SOME▁	null	0.81	0.0	1.0
40	ME	ME	ME	null	0.99	0.0	1.0
41	A	A	A	null	0.99	0.0	1.0
42	SURE▁	SURE▁	SURE▁	null	0.96	0.0	0.99
43	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
44	AC	AC	AC	null	0.99	0.0	1.0
45	TU	TU	TU	null	0.98	0.0	1.0
46	AL▁	AL▁	AL▁	null	0.76	0.0	0.98
47	GRA	GRA	GRA	null	1.0	0.0	1.0
48	C	C	C	null	1.0	0.0	1.0
49	E▁	E▁	E▁	null	0.99	0.0	0.8
==================================================

__________________________________________________
idx: 1089-134686-0010
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	WELL▁	WELL▁	WELL▁	null	1.0	0.0	0.98
1	NOW▁	NOW▁	NOW▁	null	0.83	0.0	0.99
2	EN	IN	IN	null	0.8	0.0	0.99
3	CL	C	C	null	0.18	0.06	0.24
4	ARE▁	RE	RE	IT	0.64	0.59	0.09
5	YOU▁	C	AS	C	1.0	1.0	0.36
6	HAVE▁	HO	▁	HO	0.86	0.97	0.12
7	A▁	DE	DE	null	0.85	0.01	0.98
8	AND▁	B	S▁	B	0.47	0.94	0.35
9	SO▁	S	S	null	0.55	0.0	1.0
10	HAS▁	AP	S▁	AP	0.63	1.0	0.2
==================================================

__________________________________________________
idx: 1089-134686-0011
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	ON▁	ON▁	ON▁	null	1.0	0.0	0.99
1	SA	SA	SA	null	0.99	0.0	1.0
2	TUR	TUR	TUR	null	1.0	0.0	1.0
3	DAY▁	DAY▁	DAY▁	null	1.0	0.0	0.98
4	MO	MO	MO	null	0.75	0.0	1.0
5	R	R	R	null	0.94	0.0	0.91
6	N	N	N	null	0.65	0.01	0.53
7	INGS▁	AN	AN	AN	0.76	0.01	0.51
8	INGS▁	S▁	S▁	C	0.44	0.03	0.33
9	WHEN▁	WHEN▁	WHEN▁	null	1.0	0.0	1.0
10	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
11	SO	SOL	SOL	null	0.53	0.0	0.99
12	D	DI	DI	null	0.73	0.0	1.0
13	AL	AP	AP	AP	0.98	0.97	0.99
14	ITY▁	U	U	U	0.99	1.0	1.0
15	ITY▁	R	R	R	0.98	1.0	0.63
16	ITY▁	HO	▁	HO	0.78	1.0	0.57
17	ME	ME	ME	null	0.58	0.0	1.0
18	T▁	T▁	T▁	null	1.0	0.0	1.0
19	IN▁	IN▁	IN▁	null	0.99	0.0	1.0
20	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
21	CH	CH	CH	null	1.0	0.0	0.99
22	AP	AP	AP	AP	1.0	0.0	0.99
23	EL▁	▁	▁	U	0.86	0.34	0.85
24	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
25	RE	RE	RE	null	1.0	0.0	0.99
26	C	C	C	null	0.78	0.0	0.84
27	I	I	I	I	1.0	0.0	0.9
28	TE▁	DE▁	DE▁	null	0.95	0.0	0.52
29	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
30	LITTLE▁	LITTLE▁	LITTLE▁	null	0.8	0.0	1.0
31	OFF	OFF	OFF	null	0.96	0.0	1.0
32	ICE▁	ICE▁	ICE▁	null	1.0	0.0	1.0
33	HIS▁	HIS▁	HIS▁	null	0.99	0.0	1.0
34	PLACE▁	PLACE▁	PLACE▁	null	1.0	0.0	1.0
35	WAS▁	WAS▁	WAS▁	null	0.98	0.0	1.0
36	A▁	A▁	A▁	null	0.95	0.0	1.0
37	C	C	C	null	0.99	0.0	0.98
38	US	US	US	US	1.0	0.06	1.0
39	HI	SI	SI	null	0.48	0.0	1.0
40	ON	EN▁	EN▁	EN▁	0.89	0.89	0.83
41	K	K	K	null	1.0	0.0	0.99
42	NE	NE	NE	NE	1.0	0.0	0.94
43	EL	RO	E▁	RO	0.87	0.95	0.49
44	ING▁	MIL	L	MIL	0.62	1.0	0.23
45	K▁	K▁	K▁	null	0.85	0.0	1.0
46	AT▁	AT▁	AT▁	null	0.97	0.0	0.99
47	THE▁	THE▁	THE▁	null	1.0	0.0	0.99
48	RIGHT▁	RIGHT▁	RIGHT▁	null	0.73	0.0	1.0
49	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
50	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
51	AL	AL	AL	null	0.96	0.0	0.98
52	T	TER▁	TER▁	IT	0.92	0.05	0.54
53	FROM▁	FROM▁	FROM▁	null	1.0	0.0	1.0
54	WHICH▁	WHICH▁	WHICH▁	null	0.94	0.0	1.0
55	HE▁	HE▁	HE▁	null	1.0	0.0	1.0
56	LED▁	LED▁	LED▁	null	1.0	0.0	1.0
57	HIS▁	HIS▁	HIS▁	null	1.0	0.0	1.0
58	W	W	W	null	1.0	0.0	0.99
59	ING▁	ING▁	ING▁	null	1.0	0.0	1.0
60	OF▁	OF▁	OF▁	null	0.97	0.0	0.9
61	BO	BO	BO	null	0.92	0.0	1.0
62	Y	Y	Y	null	0.98	0.0	1.0
63	S▁	S▁	S▁	null	0.66	0.0	0.94
64	THROUGH▁	THROUGH▁	THROUGH▁	null	1.0	0.0	1.0
65	THE▁	THE▁	THE▁	null	0.95	0.0	1.0
66	RE	RE	RE	null	1.0	0.0	0.99
67	SP	SP	SP	SP	1.0	0.0	0.68
68	ON	ON	ON	L	1.0	0.0	0.57
69	S	S	S	null	0.83	0.0	1.0
70	ES▁	ES▁	ES▁	null	0.99	0.0	0.25
==================================================

__________________________________________________
idx: 1089-134686-0012
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	HER▁	HER▁	HER▁	null	0.94	0.0	0.99
1	EYES▁	EYES▁	EYES▁	null	1.0	0.0	1.0
2	SEEMED▁	SEEMED▁	SEEMED▁	null	0.81	0.0	1.0
3	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
4	RE	RE	RE	null	1.0	0.0	0.88
5	G	G	G	null	1.0	0.0	0.84
6	AR	AR	AR	AR	1.0	0.0	0.78
7	D▁	D▁	D▁	null	1.0	0.0	0.91
8	HIM▁	HIM▁	HIM▁	null	1.0	0.0	1.0
9	WITH▁	WITH▁	WITH▁	null	0.83	0.0	1.0
10	MIL	MIL	MIL	null	0.86	0.0	1.0
11	D▁	D▁	D▁	null	1.0	0.0	1.0
12	P	P	P	null	0.73	0.0	1.0
